month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01,Bronx,1,LCL/LTD,BX4A,Off-Peak,5608.427,904,6.2024684
2020-01-01,Bronx,1,LCL/LTD,BX4A,Peak,3080.996,543,5.67196
2020-01-01,Bronx,2,LCL/LTD,BX4A,Off-Peak,2107.105,311,6.7607164
2020-01-01,Bronx,2,LCL/LTD,BX4A,Peak,987.422,146,6.735944
2020-01-01,Bronx,1,LCL/LTD,BX5,Off-Peak,13230.397,1526,8.666123
2020-01-01,Bronx,1,LCL/LTD,BX5,Peak,7494.912,977,7.6650896
2020-01-01,Bronx,2,LCL/LTD,BX5,Off-Peak,7890.091,775,10.178172
2020-01-01,Bronx,2,LCL/LTD,BX5,Peak,3091.7761,317,9.732156
2020-01-01,Bronx,1,LCL/LTD,BX6,Off-Peak,19233.908,2701,7.1185446
2020-01-01,Bronx,1,LCL/LTD,BX6,Peak,6911.295,1148,6.0182023
2020-01-01,Bronx,2,LCL/LTD,BX6,Off-Peak,7712.477,975,7.905769
2020-01-01,Bronx,2,LCL/LTD,BX6,Peak,2635.215,356,7.393814
2020-01-01,Bronx,1,SBS,BX6+,Off-Peak,14457.754,1887,7.6610913
2020-01-01,Bronx,1,SBS,BX6+,Peak,7241.379,1048,6.9079275
2020-01-01,Bronx,2,SBS,BX6+,Off-Peak,5800.6963,668,8.681377
2020-01-01,Bronx,2,SBS,BX6+,Peak,2794.799,326,8.564108
2020-01-01,Bronx,1,LCL/LTD,BX7,Off-Peak,18827.807,2697,6.9809566
2020-01-01,Bronx,1,LCL/LTD,BX7,Peak,8982.954,1451,6.189365
2020-01-01,Bronx,2,LCL/LTD,BX7,Off-Peak,7548.94,1025,7.36457
2020-01-01,Bronx,2,LCL/LTD,BX7,Peak,2823.269,402,7.0215483
2020-01-01,Bronx,1,LCL/LTD,BX8,Off-Peak,17539.02,2042,8.587876
2020-01-01,Bronx,1,LCL/LTD,BX8,Peak,10397.681,1271,8.178852
2020-01-01,Bronx,2,LCL/LTD,BX8,Off-Peak,4215.779,446,9.44056
2020-01-01,Bronx,2,LCL/LTD,BX8,Peak,2043.096,217,9.3954525
2020-01-01,Bronx,1,LCL/LTD,BX9,Off-Peak,28325.322,4279,6.6191983
2020-01-01,Bronx,1,LCL/LTD,BX9,Peak,12268.481,2101,5.8371277
